innings_num,batting_team,over_number,ball_number,runs_scored,boundaries,dot_balls,wickets,extras,favored_team,win_percentage,current_run_rate,required_run_rate,striker_batsman,toss_winner,toss_decision,batsman1_name,batsman1_runs,batsman1_balls_faced,batsman1_fours,batsman1_sixes,batsman2_name,batsman2_runs,batsman2_balls_faced,batsman2_fours,batsman2_sixes,bowler1_name,bowler1_overs_bowled,bowler1_maidens_bowled,bowler1_runs_conceded,bowler1_wickets_taken,bowler2_name,bowler2_overs_bowled,bowler2_maidens_bowled,bowler2_runs_conceded,bowler2_wickets_taken,venue,matches_played,average_runs_per_wicket,average_runs_per_over,batsman1_historical_average,batsman1_historical_strike_rate,batsman2_historical_average,batsman2_historical_strike_rate,bowler1_historical_average,bowler1_historical_economy,bowler1_historical_strike_rate,bowler2_historical_average,bowler2_historical_economy,bowler2_historical_strike_rate,runs_scored_over_rolling_avg,wickets_over_rolling_avg,powerplay,middle_overs,death_overs,projected_score,pressure_index,model_win_probability
1,RR,10,4,1,0,0,0,0,KKR,63.54,7.5,0,Unknown,KKR,field first,Dhruv Jurel,2,3,0,0,Nitish Rana,6,7,0,0,Moeen Ali,2.4,0,13,1,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,28.46,135.05,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,150,0,0.68
1,RR,10,5,1,0,0,0,0,KKR,63.5,7.47,0,Unknown,KKR,field first,Nitish Rana,7,8,0,0,Dhruv Jurel,2,3,0,0,Moeen Ali,2.5,0,14,1,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,28.46,135.05,26.06,157.95,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,149,0,0.72
1,RR,10,6,0,0,0,1,0,KKR,64.37,7.45,0,Rana,KKR,field first,Dhruv Jurel,2,3,0,0,Unknown,0,0,0,0,Moeen Ali,2.6,0,15,2,Varun Chakravarthy,2.0,0,13,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,0,0,23.4,7.03,19.9,23.4,7.03,19.9,5.67,1.0,0,1,0,149,0,0.62
1,RR,11,1,1,0,0,0,0,KKR,67.7,7.43,0,Unknown,KKR,field first,Dhruv Jurel,3,4,0,0,Shubham Dubey,0,0,0,0,Varun Chakravarthy,2.1,0,14,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,33.5,223.33,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,149,0,0.64
1,RR,11,2,0,0,1,0,0,KKR,65.2,7.32,0,Unknown,KKR,field first,Shubham Dubey,0,1,0,0,Dhruv Jurel,3,4,0,0,Varun Chakravarthy,2.2,0,14,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,33.5,223.33,26.06,157.95,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,146,0,0.54
1,RR,11,3,0,0,1,0,0,KKR,66.44,7.21,0,Unknown,KKR,field first,Shubham Dubey,0,2,0,0,Dhruv Jurel,3,4,0,0,Varun Chakravarthy,2.3,0,14,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,33.5,223.33,26.06,157.95,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,144,0,0.54
1,RR,11,4,1,0,0,0,0,KKR,66.79,7.2,0,Unknown,KKR,field first,Shubham Dubey,1,3,0,0,Dhruv Jurel,3,4,0,0,Varun Chakravarthy,2.4,0,15,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,33.5,223.33,26.06,157.95,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,144,0,0.54
1,RR,11,5,0,0,1,0,0,KKR,67.62,7.09,0,Unknown,KKR,field first,Dhruv Jurel,3,5,0,0,Shubham Dubey,1,3,0,0,Varun Chakravarthy,2.5,0,15,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,33.5,223.33,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,142,0,0.6
1,RR,11,6,0,0,1,0,0,KKR,68.82,7.0,0,Unknown,KKR,field first,Dhruv Jurel,3,6,0,0,Shubham Dubey,1,3,0,0,Varun Chakravarthy,2.6,0,15,2,Moeen Ali,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,26.06,157.95,33.5,223.33,24.34,7.61,19.1,24.34,7.61,19.1,5.0,1.0,0,1,0,140,0,0.6
1,RR,12,1,1,0,0,0,0,KKR,69.99,6.98,0,Unknown,KKR,field first,Shubham Dubey,2,4,0,0,Dhruv Jurel,3,6,0,0,Moeen Ali,3.1,0,16,2,Varun Chakravarthy,3.0,0,15,2,"Barsapara Cricket Stadium, Guwahati",19,26.94,7.86,33.5,223.33,26.06,157.95,23.4,7.03,19.9,23.4,7.03,19.9,5.0,1.0,0,1,0,140,0,0.55
